X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	
0.00	-0.00	-4939.30	-488.01	4939.30	488.01	488.01	-4939.30	-488.01	4939.30	
-0.00	-0.00	-4938.81	-489.99	4938.81	489.99	489.99	-4938.81	-489.99	4938.81	
-0.00	-0.00	-4938.31	-491.96	4938.31	491.96	491.96	-4938.31	-491.96	4938.31	
-0.00	-0.00	-4937.81	-493.94	4937.81	493.94	493.94	-4937.81	-493.94	4937.81	
-0.00	-0.00	-4937.31	-495.91	4937.31	495.91	495.91	-4937.31	-495.91	4937.31	
-0.00	-0.00	-4936.81	-497.89	4936.81	497.89	497.89	-4936.81	-497.89	4936.81	
-0.00	-0.00	-4936.30	-499.86	4936.30	499.86	499.86	-4936.30	-499.86	4936.30	
-0.00	-0.00	-4935.79	-501.84	4935.79	501.84	501.84	-4935.79	-501.84	4935.79	
-0.00	-0.00	-4935.28	-503.81	4935.28	503.81	503.81	-4935.28	-503.81	4935.28	
-0.00	-0.00	-4934.77	-505.79	4934.77	505.79	505.79	-4934.77	-505.79	4934.77	
-0.00	-0.00	-4934.26	-507.76	4934.26	507.76	507.76	-4934.26	-507.76	4934.26	
-0.00	-0.00	-4933.74	-509.73	4933.74	509.73	509.73	-4933.74	-509.73	4933.74	
-0.00	-0.00	-4933.23	-511.71	4933.23	511.71	511.71	-4933.23	-511.71	4933.23	
-0.00	-0.00	-4932.71	-513.68	4932.71	513.68	513.68	-4932.71	-513.68	4932.71	
-0.00	-0.00	-4932.18	-515.65	4932.18	515.65	515.65	-4932.18	-515.65	4932.18	
-0.00	-0.00	-4931.66	-517.63	4931.66	517.63	517.63	-4931.66	-517.63	4931.66	
-0.00	-0.00	-4931.13	-519.60	4931.13	519.60	519.60	-4931.13	-519.60	4931.13	
-0.00	-0.00	-4930.61	-521.57	4930.61	521.57	521.57	-4930.61	-521.57	4930.61	
-0.00	-0.00	-4930.08	-523.54	4930.08	523.54	523.54	-4930.08	-523.54	4930.08	
-0.00	-0.00	-4929.55	-525.51	4929.55	525.51	525.51	-4929.55	-525.51	4929.55	
-0.00	-0.00	-4929.01	-527.49	4929.01	527.49	527.49	-4929.01	-527.49	4929.01	
-0.00	-0.00	-4928.48	-529.46	4928.48	529.46	529.46	-4928.48	-529.46	4928.48	
-0.00	-0.00	-4927.94	-531.43	4927.94	531.43	531.43	-4927.94	-531.43	4927.94	
-0.00	-0.00	-4927.40	-533.40	4927.40	533.40	533.40	-4927.40	-533.40	4927.40	
-0.00	-0.00	-4926.86	-535.37	4926.86	535.37	535.37	-4926.86	-535.37	4926.86	
-0.00	-0.00	-4926.31	-537.34	4926.31	537.34	537.34	-4926.31	-537.34	4926.31	
-0.00	-0.00	-4925.77	-539.31	4925.77	539.31	539.31	-4925.77	-539.31	4925.77	
-0.00	-0.00	-4925.22	-541.28	4925.22	541.28	541.28	-4925.22	-541.28	4925.22	
-0.00	-0.00	-4924.67	-543.25	4924.67	543.25	543.25	-4924.67	-543.25	4924.67	
-0.00	-0.00	-4924.12	-545.22	4924.12	545.22	545.22	-4924.12	-545.22	4924.12	
